,src,dest,src_EQ,dest_EQ,energy,Ea
215,29,18,-678.467604903473,-678.468035069086,-678.464886256507,0.0027186469659454815
216,29,180,-678.467604903473,-678.467586000566,-678.466299915832,0.0013049876409922945
217,180,29,-678.467586000566,-678.467604903473,-678.466299915832,0.0012860847340334658
218,24,175,-678.427099053109,-678.447359676875,-678.349033794512,0.07806525859700741
219,175,24,-678.447359676875,-678.427099053109,-678.349033794512,0.0983258823629285
220,79,84,-678.466015791456,-678.466721932627,-678.467014643217,-0.0009988517609826886
221,84,79,-678.466721932627,-678.466015791456,-678.467014643217,-0.0002927105899743765
222,84,181,-678.466721932627,-678.466729060005,-678.466036547178,0.0006853854490600497
223,181,84,-678.466729060005,-678.466721932627,-678.466036547178,0.000692512827072278
224,181,182,-678.466729060005,-678.467788203186,-678.465629292391,0.0010997676140505064
225,182,181,-678.467788203186,-678.466729060005,-678.465629292391,0.0021589107950603648
226,9,54,-678.467754250364,-678.467223189524,-678.467219129312,0.0005351210520530003
227,54,9,-678.467223189524,-678.467754250364,-678.467219129312,4.060212063450308e-06
228,34,36,-678.4265212667871,-678.427077658495,-678.400566819518,0.025954447269100456
229,36,34,-678.427077658495,-678.4265212667871,-678.400566819518,0.026510838977060303
230,107,50,-678.4464980918799,-678.446424027647,-678.445936493869,0.000561598010904163
231,50,107,-678.446424027647,-678.4464980918799,-678.445936493869,0.0004875337780276823
232,16,91,-678.4471519018521,-678.446520451649,-678.445157372061,0.0019945297910908266
233,91,16,-678.446520451649,-678.4471519018521,-678.445157372061,0.0013630795880317237
234,91,183,-678.446520451649,-678.446431087212,-678.446409020161,0.00011143148799419578
235,183,91,-678.446431087212,-678.446520451649,-678.446409020161,2.206705096341466e-05
236,42,51,-678.446701016018,-678.446905944938,-678.44484826746,0.0018527485580079883
237,51,42,-678.446905944938,-678.446701016018,-678.44484826746,0.002057677477978359
238,1,141,-678.447442703187,-678.447050828022,-678.437932220417,0.009510482769996997
239,141,1,-678.447050828022,-678.447442703187,-678.437932220417,0.009118607605046236
240,116,25,-678.420853264298,-678.446391560998,-678.420312103592,0.0005411607060068491
241,25,116,-678.446391560998,-678.420853264298,-678.420312103592,0.026079457406012807
242,25,54,-678.446391560998,-678.467223189524,-678.421914094847,0.024477466150983673
243,54,25,-678.467223189524,-678.446391560998,-678.421914094847,0.04530909467700894
244,54,184,-678.467223189524,-678.453762282537,-678.4145408480999,0.05268234142408801
245,184,54,-678.453762282537,-678.467223189524,-678.4145408480999,0.03922143443708137
246,124,78,-678.447169813625,-678.447279095775,-678.445675485558,0.0014943280669967862
247,78,124,-678.447279095775,-678.447169813625,-678.445675485558,0.001603610216989182
248,115,185,-678.467776517579,-678.46769124512,-678.446932665932,0.020843851646986877
249,185,115,-678.46769124512,-678.467776517579,-678.446932665932,0.020758579188054682
250,100,186,-678.4678937278769,-678.467564913016,-678.446302740695,0.021590987181866694
251,186,100,-678.467564913016,-678.4678937278769,-678.446302740695,0.02126217232091676
252,186,9,-678.467564913016,-678.467754250364,-678.4655410592479,0.0020238537680370428
253,9,186,-678.467754250364,-678.467564913016,-678.4655410592479,0.00221319111608409
254,9,54,-678.467754250364,-678.467223189524,-678.467214360579,0.0005398897850454887
255,54,9,-678.467223189524,-678.467754250364,-678.467214360579,8.828945055938675e-06
256,49,104,-678.4272966241999,-678.4270984973,-678.42483731953,0.0024593046699692422
257,104,49,-678.4270984973,-678.4272966241999,-678.42483731953,0.002261177770037648
258,48,90,-678.4285594321041,-678.427422631415,-678.426007420229,0.0025520118750819165
259,90,48,-678.427422631415,-678.4285594321041,-678.426007420229,0.0014152111859857541
260,3,114,-678.426572551802,-678.42675404281,-678.423030213645,0.0035423381569898993
261,114,3,-678.42675404281,-678.426572551802,-678.423030213645,0.003723829164982817
262,100,187,-678.4678937278769,-678.466056913653,-678.461642214376,0.006251513500956207
263,187,100,-678.466056913653,-678.4678937278769,-678.461642214376,0.004414699277049294
264,187,188,-678.466056913653,-678.465785064585,-678.464856396951,0.0012005167020561203
265,188,187,-678.465785064585,-678.466056913653,-678.464856396951,0.0009286676340707345
266,188,189,-678.465785064585,-678.4657174982219,-678.4650130082599,0.0007720563251041312
267,189,188,-678.4657174982219,-678.465785064585,-678.4650130082599,0.0007044899620041178
268,79,32,-678.466015791456,-678.46648949554,-678.464102444911,0.0019133465450522635
269,32,79,-678.46648949554,-678.466015791456,-678.464102444911,0.002387050629067744
270,32,190,-678.46648949554,-678.465689116984,-678.464999842695,0.0014896528450663027
